Salary,Salary_list,Per,Lower,Upper
$21.93 - $26.43 an hour,"['$21.93', '-', '$26.43', 'an', 'hour']",hour,2193,"['2', '6', '.', '4', '3']"
$21.21 - $22.43 an hour,"['$21.21', '-', '$22.43', 'an', 'hour']",hour,2121,"['2', '2', '.', '4', '3']"
$70 - $80 an hour,"['$70', '-', '$80', 'an', 'hour']",hour,70,"['8', '0']"
$59 - $60 an hour,"['$59', '-', '$60', 'an', 'hour']",hour,59,"['6', '0']"
"$120,000 - $140,000 a year","['$120,000', '-', '$140,000', 'a', 'year']",year,120000,"['1', '4', '0', ',', '0', '0', '0']"
$90 - $115 an hour,"['$90', '-', '$115', 'an', 'hour']",hour,90,"['1', '1', '5']"
"$60,000 - $75,000 a year","['$60,000', '-', '$75,000', 'a', 'year']",year,60000,"['7', '5', ',', '0', '0', '0']"
$25 - $45 an hour,"['$25', '-', '$45', 'an', 'hour']",hour,25,"['4', '5']"
"$70,000 - $95,000 a year","['$70,000', '-', '$95,000', 'a', 'year']",year,70000,"['9', '5', ',', '0', '0', '0']"
"$60,000 - $75,000 a year","['$60,000', '-', '$75,000', 'a', 'year']",year,60000,"['7', '5', ',', '0', '0', '0']"
$48 - $50 an hour,"['$48', '-', '$50', 'an', 'hour']",hour,48,"['5', '0']"
$45.60 an hour,"['$45.60', 'an', 'hour']",hour,4560,
"$60,000 - $65,000 a year","['$60,000', '-', '$65,000', 'a', 'year']",year,60000,"['6', '5', ',', '0', '0', '0']"
$16 an hour,"['$16', 'an', 'hour']",hour,16,
$45 - $65 an hour,"['$45', '-', '$65', 'an', 'hour']",hour,45,"['6', '5']"
$20 an hour,"['$20', 'an', 'hour']",hour,20,
"$125,000 - $240,000 a year","['$125,000', '-', '$240,000', 'a', 'year']",year,125000,"['2', '4', '0', ',', '0', '0', '0']"
"$200,000 - $350,000 a year","['$200,000', '-', '$350,000', 'a', 'year']",year,200000,"['3', '5', '0', ',', '0', '0', '0']"
"$23,000 a year","['$23,000', 'a', 'year']",year,23000,
$55 - $70 an hour,"['$55', '-', '$70', 'an', 'hour']",hour,55,"['7', '0']"
"$153,300 - $201,600 a year","['$153,300', '-', '$201,600', 'a', 'year']",year,153300,"['2', '0', '1', ',', '6', '0', '0']"
"$119,000 - $155,000 a year","['$119,000', '-', '$155,000', 'a', 'year']",year,119000,"['1', '5', '5', ',', '0', '0', '0']"
"$118,248 - $151,694 a year","['$118,248', '-', '$151,694', 'a', 'year']",year,118248,"['1', '5', '1', ',', '6', '9', '4']"
$60 - $75 an hour,"['$60', '-', '$75', 'an', 'hour']",hour,60,"['7', '5']"
"$119,000 - $155,000 a year","['$119,000', '-', '$155,000', 'a', 'year']",year,119000,"['1', '5', '5', ',', '0', '0', '0']"
$40 - $70 an hour,"['$40', '-', '$70', 'an', 'hour']",hour,40,"['7', '0']"
"$100,000 - $120,000 a year","['$100,000', '-', '$120,000', 'a', 'year']",year,100000,"['1', '2', '0', ',', '0', '0', '0']"
"$166,200 - $218,700 a year","['$166,200', '-', '$218,700', 'a', 'year']",year,166200,"['2', '1', '8', ',', '7', '0', '0']"
"$52,495 - $72,210 a year","['$52,495', '-', '$72,210', 'a', 'year']",year,52495,"['7', '2', ',', '2', '1', '0']"
"$126,200 - $176,700 a year","['$126,200', '-', '$176,700', 'a', 'year']",year,126200,"['1', '7', '6', ',', '7', '0', '0']"
"$100,000 - $130,000 a year","['$100,000', '-', '$130,000', 'a', 'year']",year,100000,"['1', '3', '0', ',', '0', '0', '0']"
