Title,Lenght,Other
Data Scientist,2,[]
Data Scientist,6,"['Mid', 'Level', '0520F', '']"
Data Scientist,5,"['active', 'TS', 'SCI']"
Data Scientist,6,"['Operations', 'Research', 'Analyst', '']"
Data Scientist,6,"['Senior', 'Consultant', 'with', 'Clearance']"
Data Scientist,2,[]
Data Scientist,3,['Supervisory']
Data Scientist,2,[]
Data Scientist,3,['Junior']
Data Scientist,8,"['DevOps', 'Engineer', 'TS', 'SCI', 'FSP', '']"
Data Scientist,5,"['Big', 'Senior', 'Consultant']"
Data Scientist,2,[]
Data Scientist,5,"['Patient', 'Safety', 'Associate']"
Data Scientist,4,"['Mid', '']"
Data Scientist,2,[]
Data Data Scientist,10,"['Executive', 'level', 'Intelligence', 'Science', 'Analytics', 'Specialist', 'BMW']"
Data Scientist,3,['Chief']
Data Scientist,3,['Contract']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist,4,"['Federal', 'Senior']"
Data Scientist,3,['III']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Mid']
Data Scientist,2,[]
Data Scientist,4,"['Senior', '']"
Data Scientist,5,"['Intelligence', 'Assessment', 'Analyst']"
Data Scientist,4,"['Cyber', 'Security']"
Data Scientist,4,"['Senior', 'Consultant']"
Data Scientist,6,"['Federal', 'Senior', 'or', 'Expert']"
Data Scientist,7,"['Sr', '277', 'Top', 'Secret', '']"
Data,4,"['Bioinformatics', 'Analyst', 'Scientists']"
Data Scientist,7,"['Senior', 'Statistician', 'Level', '3', '']"
Data Scientist,6,"['with', 'TS', 'SCI', 'Clearance']"
Data Scientist,3,['IV']
Data Scientist,3,['Intern']
Data Scientist,3,['Digital']
Data Scientist,4,"['Federal', '']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Health']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Health']
Data Scientist,2,[]
Data Scientist,5,"['Machine', 'Learning', 'Engineer']"
Data Scientist,4,"['SME', 'FAA']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Cyber']
Data Scientist,3,['Senior']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Principal']
Data Scientist,7,"['Defense', 'Intelligence', 'Agency', 'DIA', '']"
Data Scientist,3,['Principal']
Data Scientist,8,"['for', 'Text', 'Analytics', 'TS', 'SCI', '']"
Data Scientist,5,"['level', '3', '']"
Data Scientist,4,"['Mid', '']"
Data Scientist,5,"['Senior', 'Fraud', 'Analytics']"
Data Scientist,3,['Senior']
Data Scientist,4,"['Sr', 'Principal']"
Data Scientist,2,[]
Data Scientist,4,"['Infrastructure', 'Senior']"
Data Scientist,5,"['Lead', 'with', 'NLP']"
Data Scientist,8,"['Top', 'Secret', 'SCI', 'with', 'Polygraph', '']"
Data Scientist,7,"['SME', 'TS', 'SCI', 'with', 'Polygraph']"
Data Scientist,7,"['Senior', 'Cyber', 'Security', 'DevOps', 'Engineer']"
Data Scientist,4,"['Behavioral', 'Biometrics']"
Data Scientist,3,['Junior']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,5,"['Natural', 'Language', 'Processing']"
Data Scientist,3,['Mid']
Data Scientist,3,['Staff']
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist,2,[]
Data Scientist,3,['Certification']
Data Scientist,6,"['Computer', 'Vision', 'Deep', 'Learning']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,6,"['Artificial', 'Intelligence', 'Machine', 'Learning']"
Data Scientist,6,"['Secret', 'Clearance', 'Required', '']"
Data Scientist,6,"['Cleared', 'Full', 'Performance', '']"
Data Scientist,3,['L2']
Data Scientist,5,"['Subject', 'Matter', 'Expert']"
Data Scientist,5,"['Cleared', 'SME', '']"
Data Scientist,4,"['Mission', 'Mid']"
Data Scientist,4,"['Site', 'Manager']"
Data Scientist,4,"['Technical', 'Targeter']"
Data Scientist,5,"['Senior', 'Associate', 'Federal']"
Data Scientist,5,"['Cleared', 'Senior', '']"
Data Scientist,4,"['Mission', 'Senior']"
Data Scientist,6,"['Senior', 'Advanced', 'Program', '']"
Data Scientist,3,['Lead']
Data Scientist,5,"['Junior', '670378', '']"
Data Scientist,2,[]
Data Scientist,3,['Statistician']
Data Scientist,2,[]
Data Scientist,3,['Associate']
Data Scientist,4,"['Analyst', 'and']"
Data Scientist Data,7,"['Senior', 'Analyst', 'SAS', '']"
Data Scientist,5,"['Alexandria', 'VA', '1674']"
Data Scientist,4,"['Sr', 'Principal']"
Data Scientist,2,[]
Data Scientist,6,"['AI', 'Machine', 'Learning', 'Consultant']"
Data Scientist,7,"['Jr', 'TS', 'SCI', 'Required', '']"
Data Scientist,5,"['Senior', '670375', '']"
Data Scientist,4,"['Machine', 'Learning']"
Data Scientist,2,[]
