index,location,Actual_jobs,Actual_jobs_first
1494,"Picton, ON",15,1
737,"Berthierville, QC",15,1
1818,"Terrace Bay, ON",15,1
1379,"Ancaster, ON",14,1
1565,"Port Carling, ON",14,1
717,"Vallee-jonction, QC",14,1
475,"Mercier, QC",14,1
370,"St. Stephen, NB",14,1
1354,"Strathroy, ON",14,1
2464,"Fort Smith, NT",14,1
2213,"Wabasca, AB",14,1
142,"Weymouth, NS",14,1
2046,"Nanton, AB",14,1
1769,"Emo, ON",14,1
1371,"Ingersoll, ON",14,1
1763,"Baden, ON",14,1
2348,"Saanichton, BC",14,1
2300,"Headquarters, BC",14,1
658,"Sainte-Anne-des-Plaines, QC",14,1
1683,"Almonte, ON",14,1
1192,"Sturgeon Falls, ON",14,1
1705,"Matheson, ON",14,1
934,"Chandler, QC",14,1
440,"Mont-royal, QC",14,1
2000,"Cardston, AB",13,1
292,"Caraquet, NB",13,1
2269,"Lake Country, BC",13,1
1045,"Rivière-Rouge, QC",13,1
1059,"Fermont, QC",13,1
2054,"Elkford, BC",13,1
2274,"Westbank, BC",13,1
1061,"Wabush, NL",13,1
755,"Asbestos, QC",13,1
681,"Saint-Victor, QC",13,1
2466,"Inuvik, NT",13,1
657,"Sainte-Anne-de-Bellevue, QC",13,1
738,"Princeville, QC",13,1
1267,"Georgetown, ON",13,1
42,"Richibucto, NB",13,1
863,"Lavaltrie, QC",13,1
2166,"Fort Mackay, AB",13,1
1877,"Balzac, AB",13,1
2414,"Ucluelet, BC",13,1
463,"Verdun, QC",13,1
235,"Elmsdale, NS",13,1
98,"Riverview, NB",13,1
670,"Sainte-Claire, QC",13,1
121,"Waterville, NS",13,1
680,"La Guadeloupe, QC",13,1
851,"Mauricie, QC",13,1
1302,"Bradford, ON",13,1
723,"Saint-Bernard, QC",13,1
537,"Normandin, QC",13,1
713,"Saint-apollinaire, QC",13,1
2360,"Kimberley, BC",13,1
1572,"Penetanguishene, ON",13,1
353,"Degelis, QC",13,1
524,"Louiseville, QC",13,1
310,"Renous, NB",13,1
37,"Scoudouc, NB",12,1
2249,"South Surrey, BC",12,1
9,"Cornwall, PE",12,1
936,"Fleurimont, QC",12,1
601,"Saint-pascal, QC",12,1
721,"Saint-Raymond, QC",12,1
620,"Bois-des-Filion, QC",12,1
94,"Pictou, NS",12,1
