Expected_jobs,Actual_jobs,City,State
647,373,Neillsville,Wisconsin
7813,4,Sun Prairie,Wisconsin
691,96,Wilton,Wisconsin
1838,347,Eleva,Wisconsin
1961,215,Menomonie,Wisconsin
16174,1,Wales,Wisconsin
1333,530,Manitowoc,Wisconsin
7279,3,Ashippun,Wisconsin
782,96,New Lisbon,Wisconsin
7400,2,Sauk City,Wisconsin
654,245,Pulcifer,Wisconsin
17256,1,New Berlin,Wisconsin
2028,7,Milladore,Wisconsin
174,126,Mason,Wisconsin
10443,0,Oconomowoc Lake,Wisconsin
502,223,Independence,Wisconsin
4171,504,Maribel,Wisconsin
16867,32,Oak Creek,Wisconsin
3160,1,Van Dyne,Wisconsin
103,65,Pence,Wisconsin
9916,11,Saukville,Wisconsin
2229,0,Clyman,Wisconsin
604,27,Wild Rose,Wisconsin
1451,1,Reedsburg,Wisconsin
313,5,Patch Grove,Wisconsin
10389,928,Paddock Lake,Wisconsin
3648,4,New Holstein,Wisconsin
2282,3,Lake Hallie,Wisconsin
966,187,Hewitt,Wisconsin
16823,21,Menomonee Falls,Wisconsin
281,0,Eastman,Wisconsin
435,100,Pella,Wisconsin
535,7,Princeton,Wisconsin
1880,729,Melvina,Wisconsin
722,27,Peshtigo,Wisconsin
595,252,Lake Tomahawk,Wisconsin
84,42,Long Lake,Wisconsin
7592,2,Maple Bluff,Wisconsin
1453,0,Mishicot,Wisconsin
3072,0,Iron Ridge,Wisconsin
2683,0,Johnson Creek,Wisconsin
1810,0,Juneau,Wisconsin
4563,5,Kohler,Wisconsin
337,1,Thornton,Wisconsin
6874,0,Seymour,Wisconsin
2312,0,Brandon,Wisconsin
559,0,Camp Douglas,Wisconsin
1643,4,Hatley,Wisconsin
7507,3,Lake Ripley,Wisconsin
413,42,Bruce,Wisconsin
2419,539,Hammond,Wisconsin
572,275,Maiden Rock,Wisconsin
12355,240,Wind Point,Wisconsin
206,55,Minong,Wisconsin
341,135,Lewis,Wisconsin
788,16,Arkdale,Wisconsin
417,1,Wautoma,Wisconsin
7141,37,Black Earth,Wisconsin
925,386,Kewaunee,Wisconsin
729,134,Cumberland,Wisconsin
12090,2,North Bay,Wisconsin
343,0,Tilleda,Wisconsin
103,10,Iron Belt,Wisconsin
8501,1,Deerfield,Wisconsin
7695,2,DeForest,Wisconsin
630,162,Fountain City,Wisconsin
1305,2,Bancroft,Wisconsin
1786,5,Rothschild,Wisconsin
1621,5,Poy Sippi,Wisconsin
3897,17,New London,Wisconsin
926,1,Plum City,Wisconsin
1517,646,Lancaster,Wisconsin
8007,0,Rockdale,Wisconsin
2734,579,Doylestown,Wisconsin
630,0,Wyeville,Wisconsin
1593,133,Cassville,Wisconsin
16716,8,Wauwatosa,Wisconsin
3312,19,Casco,Wisconsin
2271,0,Theresa,Wisconsin
1137,434,Centuria,Wisconsin
16306,1,Caledonia,Wisconsin
347,0,Mole Lake,Wisconsin
2170,11,Edgar,Wisconsin
1208,0,Nekoosa,Wisconsin
6029,0,Sullivan,Wisconsin
6992,0,Greenleaf,Wisconsin
81,13,Tony,Wisconsin
2205,0,Junction City,Wisconsin
7487,2,Bohners Lake,Wisconsin
1986,95,Rockland,Wisconsin
399,16,Boscobel,Wisconsin
660,0,Chili,Wisconsin
75,46,Kennan,Wisconsin
1350,0,Plover,Wisconsin
193,1,Hatfield,Wisconsin
413,0,Bell Center,Wisconsin
271,12,Antigo,Wisconsin
4813,1,Rome,Wisconsin
688,19,Spencer,Wisconsin
1625,2,Lake Delton,Wisconsin
308,2,Hixton,Wisconsin
1954,8,Cadott,Wisconsin
2425,1,Hingham,Wisconsin
560,0,Cornell,Wisconsin
91,65,Port Wing,Wisconsin
656,0,Oakdale,Wisconsin
16860,0,Sussex,Wisconsin
2032,0,Galesville,Wisconsin
624,0,Dellwood,Wisconsin
397,0,Middle Village,Wisconsin
614,1,Cochrane,Wisconsin
17231,1,Muskego,Wisconsin
665,0,Greenwood,Wisconsin
15687,7,Whitefish Bay,Wisconsin
2244,1,Altoona,Wisconsin
1556,1,Vesper,Wisconsin
590,0,Rice Lake,Wisconsin
3370,0,Columbus,Wisconsin
2528,0,Campbellsport,Wisconsin
145,1,New Post,Wisconsin
593,0,Warrens,Wisconsin
8014,3,Marshall,Wisconsin
5030,1,Allenton,Wisconsin
2498,695,Brodhead,Wisconsin
2295,2,Elk Mound,Wisconsin
28,8,Clam Lake,Wisconsin
16215,9,Germantown,Wisconsin
355,0,Bloomington,Wisconsin
539,13,Crivitz,Wisconsin
1220,1,Wittenberg,Wisconsin
132,17,Danbury,Wisconsin
144,1,Drummond,Wisconsin
942,0,Gilmanton,Wisconsin
6393,2,Mazomanie,Wisconsin
7368,0,Poynette,Wisconsin
299,3,Fairchild,Wisconsin
16768,2,Elm Grove,Wisconsin
38,5,Laona,Wisconsin
2159,3,Plymouth,Wisconsin
9093,0,Port Washington,Wisconsin
3408,0,Krakow,Wisconsin
1744,0,Howards Grove,Wisconsin
672,177,Spring Green,Wisconsin
308,0,Mount Hope,Wisconsin
4787,2,Omro,Wisconsin
7738,5,Kaukauna,Wisconsin
281,1,Woodman,Wisconsin
4027,0,Bellevue,Wisconsin
343,0,Legend Lake,Wisconsin
1168,7,Cambria,Wisconsin
3611,0,Fort Atkinson,Wisconsin
1154,7,Bay City,Wisconsin
15959,0,River Hills,Wisconsin
656,1,Loyal,Wisconsin
7365,2,Fitchburg,Wisconsin
672,0,Norwalk,Wisconsin
1996,0,Chippewa Falls,Wisconsin
8911,0,Burlington,Wisconsin
6198,3,Appleton,Wisconsin
6956,4,Edgerton,Wisconsin
1195,1,Scandinavia,Wisconsin
13116,4,Sturtevant,Wisconsin
2738,0,Knowlton,Wisconsin
646,0,Elroy,Wisconsin
1462,0,Rosholt,Wisconsin
5665,0,Chilton,Wisconsin
2802,5,Barneveld,Wisconsin
681,1,Arcadia,Wisconsin
1785,4,Coon Valley,Wisconsin
