location,Actual_jobs
"L'ile-bizard, QC",2
"Saint-Joseph-du-Lac, QC",3
"Saint-Zotique, QC",5
"Saint-clet, QC",1
"Oka, QC",3
"Vaudreuil-sur-le-lac, QC",1
"Saint-Ambroise-de-Kildare, QC",5
"Sherrington, QC",2
"Rigaud, QC",10
"La Malbaie, QC",31
"Tadoussac, QC",11
"Port-Cartier, QC",16
"Sainte-Anne-des-Monts, QC",10
"Mont-Albert, QC",2
"Mauricie, QC",13
"L'epiphanie, QC",2
"Shawinigan-sud, QC",6
"Saint-Esprit, QC",8
"Saint-Gabriel-de-Brandon, QC",9
"Saint-Jacques, QC",3
"Saint-Majorique, QC",1
"Saint-Boniface, QC",2
"Laurier, QC",4
"Rawdon, QC",7
"Saint-Charles-Borromée, QC",16
"Grand-mere, QC",8
"Lavaltrie, QC",13
"Saint-paulin, QC",2
"Cap-de-la-Madeleine, QC",7
"Contrecoeur, QC",2
"Saint-sulpice, QC",2
"Sainte-Thècle, QC",1
"Saint-Félix-de-Valois, QC",5
"Crabtree, QC",4
"Saint-Paul, QC",1
"Saint-Élie-de-Caxton, QC",1
"Saint-Thomas, QC",5
"Vercheres, QC",1
"Sainte-Rosalie, QC",3
"Masson, QC",1
"Saint-Étienne-des-Grès, QC",2
"Saint-ours, QC",1
"Saint-Guillaume, QC",2
"Saint-Alexis-des-Monts, QC",1
"La Presentation, QC",2
"Des Ormeaux, QC",1
"Lanaudière, QC",1
"Lotbiniere, QC",1
"Saint-Gérard-des-Laurentides, QC",4
"Saint-François-du-Lac, QC",1
"Saint-Alexis, QC",1
"Sainte-Victoire-de-Sorel, QC",1
"Saint-stanislas-de-champlain, QC",2
"Saint-Tite, QC",9
"Saint-Paulin, QC",1
"Saint-Ubalde, QC",5
"L'avenir, QC",1
"Saint-Jean-de-Matha, QC",1
"Pont-Rouge, QC",1
"Saint-Pie-de-Guire, QC",1
"Sainte-victoire-de-sorel, QC",1
"L'ange Gardien, QC",2
"Sainte-Eulalie, QC",1
"Saint-georges-de-champlain, QC",2
"Saint-Joseph-de-Sorel, QC",1
"Saint-barthelemy, QC",1
"Notre-Dame-de-Lourdes, QC",1
"Massueville, QC",2
"Ivry-sur-le-Lac, QC",1
"Mont-Tremblant, QC",129
"Montcalm, QC",2
"Saint-Faustin-Lac-Carré, QC",5
"Saint-Adolphe-d'Howard, QC",7
"Destor, QC",1
"Sainte-Marguerite-du-Lac-Masson, QC",2
"Chibougamau, QC",54
"Mistissini, QC",12
"Vimont, QC",5
"Scott, QC",1
"Chapais, QC",6
"Beaumont, QC",1
"Du Tremblay, QC",2
"Mattawa, ON",6
"Mattawan, ON",9
"Lac Constance, QC",1
"Mcmasterville, QC",2
"Otterburn Park, QC",1
"Saint-jean-baptiste, QC",1
"Sainte-Anne-de-Sorel, QC",1
"Saint-Dominique, QC",1
"Cookshire, QC",2
"Sainte-Sophie, QC",5
"Saint-Janvier, QC",1
"Mont-Sainte-Anne, QC",1
"Saint-Canut, QC",2
"Gaspésie-Îles-de-la-Madeleine, QC",31
"Cap-d'espoir, QC",2
"Chandler, QC",14
"Lac-Brome, QC",1
"Fleurimont, QC",12
"Rock Forest, QC",6
"Lennoxville, QC",2
"Saint-Louis-de-France, QC",1
"Cookshire-Eaton, QC",4
"Saint-sebastien, QC",2
"Westbury, QC",1
"Sawyerville, QC",1
"Orford, QC",5
"Limoges, ON",4
"Hawkesbury, ON",31
"Brownsburg-Chatham, QC",2
"Grenville, QC",2
"Piedmont, QC",6
"Vankleek Hill, ON",1
"North Gower, ON",1
"Maniwaki, QC",45
"Arnprior, ON",55
"Pembroke, ON",153
"Renfrew, ON",24
"Val-des-Monts, QC",4
"Buckingham, QC",10
"Cumberland, ON",2
"Russell, ON",2
