Expected_jobs,City,State
1552,West Baraboo,Wisconsin
2187,Lomira,Wisconsin
2180,Brownsville,Wisconsin
1979,Bloomer,Wisconsin
44,Wabeno,Wisconsin
3885,Whitewater,Wisconsin
4552,Reedsville,Wisconsin
1079,Amherst,Wisconsin
7533,Monona,Wisconsin
7449,River Falls,Wisconsin
3968,Delavan,Wisconsin
16898,Greendale,Wisconsin
179,Couderay,Wisconsin
1364,Berlin,Wisconsin
449,Grantsburg,Wisconsin
1922,Burnett,Wisconsin
49,Lakewood,Wisconsin
1608,Wausau,Wisconsin
490,Livingston,Wisconsin
593,Hillsboro,Wisconsin
83,Exeland,Wisconsin
1941,Whitelaw,Wisconsin
7620,East Troy,Wisconsin
882,Oconto,Wisconsin
3376,Elkhorn,Wisconsin
12760,Nashotah,Wisconsin
617,Rewey,Wisconsin
339,Ferryville,Wisconsin
647,Neillsville,Wisconsin
7813,Sun Prairie,Wisconsin
691,Wilton,Wisconsin
1838,Eleva,Wisconsin
1961,Menomonie,Wisconsin
16174,Wales,Wisconsin
1333,Manitowoc,Wisconsin
7279,Ashippun,Wisconsin
782,New Lisbon,Wisconsin
0,New Odanah,Wisconsin
7400,Sauk City,Wisconsin
654,Pulcifer,Wisconsin
17256,New Berlin,Wisconsin
2028,Milladore,Wisconsin
174,Mason,Wisconsin
10443,Oconomowoc Lake,Wisconsin
502,Independence,Wisconsin
4171,Maribel,Wisconsin
16867,Oak Creek,Wisconsin
3160,Van Dyne,Wisconsin
103,Pence,Wisconsin
9916,Saukville,Wisconsin
2229,Clyman,Wisconsin
604,Wild Rose,Wisconsin
1451,Reedsburg,Wisconsin
313,Patch Grove,Wisconsin
10389,Paddock Lake,Wisconsin
3648,New Holstein,Wisconsin
2282,Lake Hallie,Wisconsin
966,Hewitt,Wisconsin
16823,Menomonee Falls,Wisconsin
281,Eastman,Wisconsin
435,Pella,Wisconsin
535,Princeton,Wisconsin
1880,Melvina,Wisconsin
722,Peshtigo,Wisconsin
595,Lake Tomahawk,Wisconsin
84,Long Lake,Wisconsin
7592,Maple Bluff,Wisconsin
1453,Mishicot,Wisconsin
3072,Iron Ridge,Wisconsin
2683,Johnson Creek,Wisconsin
1810,Juneau,Wisconsin
4563,Kohler,Wisconsin
337,Thornton,Wisconsin
6874,Seymour,Wisconsin
2312,Brandon,Wisconsin
559,Camp Douglas,Wisconsin
1643,Hatley,Wisconsin
7507,Lake Ripley,Wisconsin
413,Bruce,Wisconsin
2419,Hammond,Wisconsin
572,Maiden Rock,Wisconsin
12355,Wind Point,Wisconsin
206,Minong,Wisconsin
341,Lewis,Wisconsin
788,Arkdale,Wisconsin
417,Wautoma,Wisconsin
7141,Black Earth,Wisconsin
925,Kewaunee,Wisconsin
729,Cumberland,Wisconsin
12090,North Bay,Wisconsin
343,Tilleda,Wisconsin
103,Iron Belt,Wisconsin
8501,Deerfield,Wisconsin
7695,DeForest,Wisconsin
630,Fountain City,Wisconsin
1305,Bancroft,Wisconsin
1786,Rothschild,Wisconsin
1621,Poy Sippi,Wisconsin
3897,New London,Wisconsin
926,Plum City,Wisconsin
1517,Lancaster,Wisconsin
8007,Rockdale,Wisconsin
2734,Doylestown,Wisconsin
630,Wyeville,Wisconsin
1593,Cassville,Wisconsin
16716,Wauwatosa,Wisconsin
0,Diaperville,Wisconsin
3312,Casco,Wisconsin
2271,Theresa,Wisconsin
1137,Centuria,Wisconsin
16306,Caledonia,Wisconsin
347,Mole Lake,Wisconsin
2170,Edgar,Wisconsin
1208,Nekoosa,Wisconsin
6029,Sullivan,Wisconsin
6992,Greenleaf,Wisconsin
81,Tony,Wisconsin
2205,Junction City,Wisconsin
7487,Bohners Lake,Wisconsin
1986,Rockland,Wisconsin
399,Boscobel,Wisconsin
660,Chili,Wisconsin
75,Kennan,Wisconsin
1350,Plover,Wisconsin
193,Hatfield,Wisconsin
413,Bell Center,Wisconsin
271,Antigo,Wisconsin
4813,Rome,Wisconsin
688,Spencer,Wisconsin
1625,Lake Delton,Wisconsin
308,Hixton,Wisconsin
1954,Cadott,Wisconsin
2425,Hingham,Wisconsin
560,Cornell,Wisconsin
91,Port Wing,Wisconsin
656,Oakdale,Wisconsin
16860,Sussex,Wisconsin
2032,Galesville,Wisconsin
624,Dellwood,Wisconsin
397,Middle Village,Wisconsin
614,Cochrane,Wisconsin
17231,Muskego,Wisconsin
665,Greenwood,Wisconsin
15687,Whitefish Bay,Wisconsin
2244,Altoona,Wisconsin
1556,Vesper,Wisconsin
590,Rice Lake,Wisconsin
3370,Columbus,Wisconsin
2528,Campbellsport,Wisconsin
145,New Post,Wisconsin
593,Warrens,Wisconsin
8014,Marshall,Wisconsin
5030,Allenton,Wisconsin
2498,Brodhead,Wisconsin
2295,Elk Mound,Wisconsin
28,Clam Lake,Wisconsin
16215,Germantown,Wisconsin
355,Bloomington,Wisconsin
539,Crivitz,Wisconsin
1220,Wittenberg,Wisconsin
132,Danbury,Wisconsin
144,Drummond,Wisconsin
942,Gilmanton,Wisconsin
6393,Mazomanie,Wisconsin
7368,Poynette,Wisconsin
299,Fairchild,Wisconsin
16768,Elm Grove,Wisconsin
38,Laona,Wisconsin
2159,Plymouth,Wisconsin
9093,Port Washington,Wisconsin
3408,Krakow,Wisconsin
1744,Howards Grove,Wisconsin
672,Spring Green,Wisconsin
308,Mount Hope,Wisconsin
4787,Omro,Wisconsin
7738,Kaukauna,Wisconsin
281,Woodman,Wisconsin
4027,Bellevue,Wisconsin
0,Bluffview,Wisconsin
343,Legend Lake,Wisconsin
1168,Cambria,Wisconsin
3611,Fort Atkinson,Wisconsin
1154,Bay City,Wisconsin
15959,River Hills,Wisconsin
656,Loyal,Wisconsin
7365,Fitchburg,Wisconsin
672,Norwalk,Wisconsin
1996,Chippewa Falls,Wisconsin
8911,Burlington,Wisconsin
6198,Appleton,Wisconsin
6956,Edgerton,Wisconsin
1195,Scandinavia,Wisconsin
13116,Sturtevant,Wisconsin
2738,Knowlton,Wisconsin
646,Elroy,Wisconsin
1462,Rosholt,Wisconsin
5665,Chilton,Wisconsin
2802,Barneveld,Wisconsin
681,Arcadia,Wisconsin
1785,Coon Valley,Wisconsin
17914,Franklin,Wisconsin
278,Blue River,Wisconsin
103,Montreal,Wisconsin
5412,West Bend,Wisconsin
12031,Elmwood Park,Wisconsin
1544,Athens,Wisconsin
3958,New Richmond,Wisconsin
437,Baileys Harbor,Wisconsin
6612,Merrimac,Wisconsin
7783,Oregon,Wisconsin
825,Downing,Wisconsin
68,Catawba,Wisconsin
428,Bowler,Wisconsin
1204,Wisconsin Rapids,Wisconsin
0,Tustin,Wisconsin
1656,Cuba City,Wisconsin
201,Webster,Wisconsin
514,Lone Rock,Wisconsin
865,Pittsville,Wisconsin
7481,Shorewood Hills,Wisconsin
15805,Fox Point,Wisconsin
53,Winter,Wisconsin
3921,Lake Geneva,Wisconsin
558,Coleman,Wisconsin
3816,Springfield,Wisconsin
167,Marengo,Wisconsin
249,Siren,Wisconsin
178,Argonne,Wisconsin
1297,Packwaukee,Wisconsin
538,Dodgeville,Wisconsin
1982,Marathon City,Wisconsin
1761,St. Joseph,Wisconsin
2966,Cascade,Wisconsin
812,Turtle Lake,Wisconsin
2604,Green Valley,Wisconsin
5057,Beloit,Wisconsin
2471,Bear Creek,Wisconsin
346,Glen Haven,Wisconsin
16830,South Milwaukee,Wisconsin
1266,Hager City,Wisconsin
220,Saxon,Wisconsin
4039,Green Bay,Wisconsin
675,Browntown,Wisconsin
567,Barron,Wisconsin
7176,Prairie du Sac,Wisconsin
3487,Suamico,Wisconsin
732,Hancock,Wisconsin
1545,Ettrick,Wisconsin
1021,Ridgeland,Wisconsin
664,Stockholm,Wisconsin
1834,Weyauwega,Wisconsin
7330,Cross Plains,Wisconsin
14119,Jackson,Wisconsin
633,Barronett,Wisconsin
11169,Okauchee Lake,Wisconsin
559,Cobb,Wisconsin
8078,Eagle,Wisconsin
12894,Eagle Lake,Wisconsin
0,Birch Hill,Wisconsin
418,Tomahawk,Wisconsin
2033,Ripon,Wisconsin
159,Gordon,Wisconsin
1522,Merrill,Wisconsin
5594,Potter,Wisconsin
7732,Lac La Belle,Wisconsin
7939,Cottage Grove,Wisconsin
5744,Ashwaubenon,Wisconsin
773,Balsam Lake,Wisconsin
619,Curtiss,Wisconsin
0,Sandy Hook,Wisconsin
2077,Glenbeulah,Wisconsin
2442,Taycheedah,Wisconsin
8360,Hartford,Wisconsin
2808,St. Cloud,Wisconsin
3361,Milton,Wisconsin
1751,West Salem,Wisconsin
382,Tigerton,Wisconsin
192,Washburn,Wisconsin
2546,Adell,Wisconsin
335,Wausaukee,Wisconsin
93,Phillips,Wisconsin
226,Goodman,Wisconsin
3376,Jefferson,Wisconsin
1252,Spring Valley,Wisconsin
181,White Lake,Wisconsin
7371,Verona,Wisconsin
810,Fox Lake,Wisconsin
1993,Valders,Wisconsin
304,Wauzeka,Wisconsin
99,Hurley,Wisconsin
7521,Madison,Wisconsin
16977,West Allis,Wisconsin
0,Maine,Wisconsin
556,Hustler,Wisconsin
838,Amery,Wisconsin
458,Caroline,Wisconsin
2297,Reeseville,Wisconsin
82,Iron River,Wisconsin
298,Bagley,Wisconsin
495,Gratiot,Wisconsin
2697,Osceola,Wisconsin
411,Neopit,Wisconsin
